temp,measure,tile
15,16.2,L
16,17.4,L
17,18.1,L
18,19.2,L
19,20,L
20,21.2,L
21,22.2,L
22,23.3,L
23,23.8,L
24,24.6,L
25,25.3,L
26,26.4,L
27,26.7,L
28,27.9,L
29,29,L
30,29.8,L
31,30.6,L
32,32,L
33,32.7,L
34,33.4,L
35,34.8,L
36,35,L
37,36,L
38,38,L
39,38.7,L
40,39.1,L
41,40.7,L
42,41.5,L
43,42.8,L
44,44.1,L
45,45.5,L
46,46.1,L
47,48.1,L
48,47.3,L
49,49.9,L
50,51.9,L
15,16.5,M
16,17.4,M
17,18.4,M
18,19.2,M
19,20.2,M
20,21.1,M
21,22.1,M
22,23.3,M
23,23.9,M
24,24.7,M
25,25.5,M
26,26.4,M
27,27.1,M
28,28,M
29,28.8,M
30,29.7,M
31,30.9,M
32,31.7,M
33,32.8,M
34,33.7,M
35,34.4,M
36,35.8,M
37,36.5,M
38,37.6,M
39,38.6,M
40,39.6,M
41,40.9,M
42,41.9,M
43,42.9,M
44,44,M
45,45.2,M
46,46.5,M
47,47.4,M
48,49,M
49,49.8,M
50,52.2,M
15,15.8,R
16,17.1,R
17,17.9,R
18,19,R
19,19,R
20,20.9,R
21,21.8,R
22,23.1,R
23,23.9,R
24,25,R
25,25.4,R
26,26.2,R
27,27.1,R
28,27.8,R
29,28.7,R
30,29.7,R
31,30.7,R
32,31.9,R
33,32.6,R
34,33.4,R
35,34.6,R
36,35.6,R
37,36.3,R
38,37.7,R
39,38.9,R
40,39.6,R
41,40.7,R
42,41.9,R
43,42.9,R
44,44.2,R
45,45.1,R
46,46.7,R
47,47.8,R
48,49.2,R
49,51,R
50,52.4,R
